sent,label
SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1
SNSで実際の年齢と性別を書いて友達を募集する,0
人通りが多い道でわざと肩を人にぶつけていちゃもんをつける,1
人通りが多い道で肩があたらないように気を付けて歩く,0
友達のゲームのセーブデータを勝手に消した,1
友達のゲームのセーブデータで遊ばせてもらった,0
生食用ではない肉をユッケとして提供した,1
生食用の肉をユッケとして提供した,0
漫画の一場面をプリントしたグッズを個人が作成し、他の人に販売した,1
漫画の一場面をプリントしたグッズを個人が作成し、自分だけで楽しんだ,0
息子が歯磨きをすると言っていたので、歯ブラシにハンドソープをつけて渡した,1
息子が歯磨きをすると言っていたので、歯ブラシに歯磨き粉をつけて渡した,0
無人餃子販売所に行き、自分が作った餃子を無断で冷凍庫に他の商品と混ぜて置いた,1
無人餃子販売所に行き、美味しそうな餃子を冷凍から取り出して購入した,0
お店のお菓子が美味しそうだったのでポケットに詰め込んだ,1
お店のお菓子が美味しそうだったのでカゴに入れて会計した,0
自転車が横を通り過ぎようとしていたので、持っていた傘をホイールに差し込んだ,1
自転車が横を通り過ぎようとしていたので、道の端に避けた,0
眠くなったので、道路に寝転がって仮眠をとった,1
眠くなったので、近くのベンチに座って仮眠をとった,0
パン屋に美味しそうなパンが並んでいたので、一口齧って棚に戻した,1
パン屋に美味しそうなパンが並んでいたので、トレーに取って購入した,0
深夜バスで後ろの席の人に了承を得ずに座席を目一杯倒した,1
深夜バスで後ろの席の人に了承を得てから座席を少しだけ倒した,0
動物園で動物に家から持ってきた食べ物を与える,1
動物園で動物に園で売っていた動物用の食べ物を与えた,0
手に持ったガスバーナーを人に向けて使う,1
手に持ったガスバーナーを食材に向けて使う,0
ゴミ捨て場のゴミが臭かったため、火をつけて燃やした,1
ゴミ捨て場のゴミが臭かったため、掃除をした,0
階段で大量の荷物を抱えた生徒がいたため後ろから背中を思い切り押した,1
階段で大量の荷物を抱えた生徒がいたため後ろから声をかけて荷物を半分持った,0
友人の不幸を願うために結婚式に参列した,1
友人の幸せを願うために結婚式に参列した,0
家にあった包丁を意味もなく街中で持ち歩いていた,1
店で包丁を購入したため、街中で持ち歩いていた,1
釣りをした後、使っていた仕掛けを海に捨てた,1
釣りをした後、使っていた仕掛けを家で捨てた,0
魚が沢山釣れそうな場所に釣り禁止の看板があったが、気にせず釣りをした,1
魚が沢山釣れそうな場所に釣り禁止の看板があったため、他の場所で釣りをした,0
ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、機体を揺らした,1
ゲームセンターのＵＦＯキャッチャーで景品がなかなか取れなかったので、店員に景品の位置を移動してもらった,0
団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを店のベンチに置いて行った,1
団子屋で団子を購入して店の前で食べ終わった後、ゴミ箱が無かったのでゴミを鞄に入れて持ち帰った,0
出かける用事があったので、赤ちゃんを1人家に置いて出かけた,1
出かける用事があったので、赤ちゃんを連れて出かけた,0
職場の社外秘の資料をファイルに挟んで持ち帰った,1
職場の社外秘の資料をファイルに挟んで会社のロッカーに仕舞った,0
ボール使用禁止の遊技場でサッカーをした,1
ボール使用禁止の遊技場でダンスをした,0
建物内禁煙だったが、誰もいなかったのでタバコを吸った,1
建物内禁煙だったので、喫煙所まで行ってタバコを吸った,0
イートインと持ち帰りで消費税が違う店で商品を購入した時、持ち帰りと言って会計しイートインコーナーで飲食した,1
イートインと持ち帰りで消費税が違う店で商品を購入した時、イートイン利用と言って会計しイートインコーナーで飲食した,0
通販サイトで商品のレビューが欲しかったため、人にお金を払って高評価指定でレビューをしてもらった,1
"通販サイトで商品のレビューが欲しかったため、人に商品を無償で試してもらってレビューを投稿してもらった
",0
ＳＮＳでタレントのありもしない行いをでっち上げて投稿した,1
ＳＮＳでタレントの善い行いについて賞賛した内容を投稿した,0
電車に乗っている時に電話がかかってきたが聞こえにくかったので大声で話した,1
電車に乗っている時に電話がかかってきたがマナーモードにして後で掛けなおした,0
温泉の温度が熱かったため、お湯が冷たくなるまで水を入れた,1
温泉の温度が熱かったため、お湯が適温になるまで水を入れた,0
手持ちのお金が無かったので友人の財布から抜き取った,1
手持ちのお金が無かったので友人にお金を借りた,0
畑に野菜が植わっていたのでいくつか抜いて持ち帰った,1
畑に野菜が植わっていたので生産者の人から購入した,0
人の所有する山で所有者の許可無く松茸を取りに行った,1
人の所有する山で所有者の許可を得て松茸を取りに行った,0
海外旅行で日本には無い珍しい植物があったので種子を持ち帰った,1
海外旅行で日本には無い珍しい植物があったので写真を沢山撮影した,0
画鋲を人の靴に刺す,1
画鋲を壁に刺す,0
スーパーで買い物袋を忘れたので店の買い物カゴを持ち帰る,1
スーパーで買い物袋を忘れたのでレジ袋を購入する,0
エスカレーターに乗って逆走する,1
エスカレーターに乗って上階へ移動する,0
同僚の机に置いてあったお弁当が美味しそうだったので、勝手に食べた,1
同僚の机に置いてあったお弁当が美味しそうだったので、コンビニへ行った,0
知人のお土産にゴミを持っていく,1
知人のお土産スイーツを持っていく,0
ホテルの部屋で水を一晩中出しっぱなしにした,1
ホテルの部屋で水を出したらこまめに止めた,0
紙おむつを捨てる場所がなかったので、トイレに流した,1
紙おむつを捨てる場所がなかったので、持ち帰った,0
前に走っている車が遅かったので、車間距離を詰めて急かした,1
前に走っている車が遅かったので、追い越した,0
ガソリンスタンドでタバコを吸いながらガソリンを入れる,1
ガソリンスタンドでコーヒーを飲みながらガソリンを入れる,0
道路沿いに生えていた木によって信号機が見えにくかったため、自分で剪定した,1
道路沿いに生えていた木によって信号機が見えにくかったため、市役所に連絡して剪定してもらった,0
前に歩いていた人がお金を落としたので、拾ってポケットにしまった,1
前に歩いていた人がお金を落としたので、拾って落とした人に渡した,0
飲食店で注文した品と違う物が来たが、何も言わずに食べた,1
飲食店で注文して品と違う物がきたので、店員に言って注文した品を持ってきてもらった,0
仕事でミスをしたので、後輩に責任を押し付けた,1
仕事でミスをしたので、自分で責任を背負った,0
動物園のふれあい広場で、出入り口を開けたままにして動物を外へ出してあげた,1
動物園のふれあい広場で、出入り口をしっかり閉めてから動物とふれあった,0
フードコートで水を持ってきたので座席に水をかけた,1
フードコートで水を持ってきたので座って水を飲んだ,1
この先立ち入り禁止、という看板があったので看板を見えないところに隠して迂回した,1
この先立ち入り禁止、という看板があったので迂回した,0
アルバイトを不適切な賃金で働かせる,1
アルバイトを適切な賃金で働かせる,0
クラスに勉強がとても苦手な子がいたので、皆でその子の机を廊下に出した,1
クラスに勉強がとても苦手な子がいたので、皆でその子に勉強を教えてあげた,0
味噌汁を作っている時に、隠し味として泥を少量入れた,1
味噌汁を作っている時に、隠し味としてみりんを少量入れた,0
観光バス旅行中、サービスエリアで休憩している時にたまたま友人が別の車で来ていたので添乗員に言わず友人の車で出発した,1
観光バス旅行中、サービスエリアで休憩している時にたまたま友人が別の車で来ていたので話しかけた,0
泥酔していたため人の家の敷地に入って倒れるように眠った,1
泥酔していたため家に帰ったら倒れるように眠った,0
友人の家に来てチャイムを鳴らしたが、応答が無かったので置いてあった植木鉢を窓に打ちつけた,1
友人の家に来てチャイムを鳴らしたが、応答が無かったので電話をかけた,0
牛丼屋の机に置いてあった紅生姜が入った容器から使っていた箸で紅生姜を取り出した,1
牛丼屋の机に置いてあった紅生姜が入った容器から中に入っていたトングで紅生姜を取り出した,0
中国産の食べ物を国産と表記して販売した,1
熊本県産の食べ物を国産と表記して販売した,0
ピアノの調律を行うことになったので、ピアノの弦を切った,1
ピアノの調律を行うことになったので、美しい音が出るように調律した,0
旅館の料理に自分で虫を入れて、苦情を言った,1
旅館の料理に虫が入っていたので、苦情を言った,0
駄々をこねて泣き叫んでいた子供を置いて帰った,1
駄々をこねて泣き叫んでいた子供にお菓子を買ってあげた,1
扇風機を修理している人がいたので、電源をオンにした,1
扇風機を修理している人がいたので、電源プラグを抜いた,0
空き家があったので、勝手に中に入って住んだ,1
空き家があったので、そこを買い取って住んだ,0
気になる人の事をもっと知りたいため、家に盗聴器を付ける,1
気になる人の事をもっと知りたいため、連絡先を交換する,0
バチで人を叩く,1
バチでマリンバを叩く,0
図書館の本で気になるページがあったため、そのページを破った,1
図書館の本で気になるページがあったため、そのページをコピーした,0
人の耳元で楽器を大音量で鳴らす,1
人から距離を取った所で楽器を大音量で鳴らす,0
登山をしている時、後ろに他の登山客がいたので石を転がしてみた,1
登山をしている時、後ろに他の登山客がいたので石が落ちないように気をつけた,0
世界遺産の建築物に落書きをする,1
世界遺産の建物にそっと触れる,1
真剣に作業をしている人を後ろからおどろかす,1
真剣に作業をしている人を後ろからそっと見守る,0
咳が出そうになったので、口に手をあてず人に向かって咳をした,1
咳が出そうになったので、口に手をあてて顔を背けて咳をした,0
駐車場に車を停めた時、隣の車にぶつかってしまったので持ち主が来る前に逃げた,1
駐車場に車を停めた時、隣の車にぶつかってしまったので持ち主をまって謝罪した,0
お小遣いが欲しかったため、ゴミ捨て場にあった家具をリサイクルショップへ売りに行った,1
お小遣いが欲しかったため、家にあった不要な家具をリサイクルショップへ売りに行った,0
雪が積もっていたため、雪かきをした雪を隣の家の敷地に捨てた,1
雪が積もっていたため、雪かきをした雪を家の敷地の端に捨てた,0
高速道路で急いでいたので制限速度を大幅に越えた速度で走った,1
高速道路で急いでいたが制限速度内の速度で走った,0
桃が売っていたので、何個か押してみてから桃を購入した,1
桃が売っていたので、見た目が一番美味しそうな桃を購入した,0
回転寿司で食べた皿をレーンに戻した,1
回転寿司で食べた皿をテーブルの隅に避けた,0
兄弟が一生懸命完成させたパズルを壊す,1
兄弟が一生懸命完成させたパズルを褒める,0
発売前のゲームソフトの情報を偶然知ってしまったため、ネットで他の人にも教えてあげた,1
発売前のゲームソフトの情報を偶然知ってしまったが、発売日まで誰にも情報を言わなかった,0
美味しいお酒に、ハバネロを添える。,1
美味しいお酒に、ライムを添える。,0
パチンコ屋の店内で拾った財布の金で自分がパチンコを打つ,1
パチンコ屋の店内で拾った玉で自分がパチンコを打つ,1
おいしそうに飲む焼酎を奪い取って相手にかける,1
おいしそうに飲む焼酎を奪い取って自分にかける,1
帰宅するのをやめてしまった,1
帰宅するのが遅くなった,0
人を切るためにチェンソーを使う,1
机を切るためにチェンソーを使う,0
相手の動きを教えて貰いながらゲームを進める,0
相手の動きを観察しながらゲームを進める,0
寒い夜に味方に氷を投げる,1
寒い夜に味方に手袋を投げる,0
老人に荷物を運ばせる,1
ドアボーイに荷物を運ばせる,0
怒ってポケットからナイフを取り出す,1
怒ってポケットからハンカチを取り出す,0
会話が楽しくて思わず約束の時間を忘れる,1
会話が楽しくて思わず時が経つのを忘れる,0
捨てたタバコがカーテンに当たり燃える,1
捨てたタバコが焚き木に当たり燃える,1
一歩を踏み出せない友達の背中を強く蹴る,1
一歩を踏み出せない友達の背中を強く押す,0
亡くなった父を校舎の裏に埋める,1
亡くなった父を墓場に埋める,0
窓ガラスに見事石があたった,1
木に見事石があたった,1
子供の首を絞めて走って逃げる,1
ネクタイを締めて走って逃げる,0
当たった相手と罵り合いになる,1
当たった相手と話し合いになる,0
嘘もたくさんついた,1
餅をたくさんついた,0
縫製の為に待ち針で人の背中を突く,1
縫製の為に待ち針で針やまを突く,0
店のオーナーに濡れ衣を着せた,1
店のオーナーにコートを着せた,0
道路を塞ごうとする,1
道路を渡ろうとする,0
妹の目にシナモンを入れるためシナモンを割る,1
コーヒーにシナモンを入れるためシナモンを割る,0
自分の子供を強く殴る,1
自分の机を強く殴る,1
泣き止まない赤ん坊を執拗に叩く,1
泣き止まない赤ん坊を執拗になだめる,0
道端にいた犬に腐った食材を与えた,1
道端にいた犬にドッグフードを与えた,0
子供のころの拳銃遊びは、玉は拾った実弾だった,1
子供のころの拳銃遊びは、玉は拾ったどんぐりだった,0
現実との区別がつかなくなる,1
あかりがつかなくなる,0
安全に運べるように運び屋を用意する,1
安全に運べるように容器を用意する,0
綺麗だなぁと思って花に手を出す,0
綺麗だなぁと思って女性に手を出す,1
空腹の旅人におもちゃでできたフルーツやケーキを出した,1
空腹の旅人に母が作ったフルーツやケーキを出した,0
剃刀で手首を切る,1
剃刀で糸くずを切る,0
窓を開け男を入れ拘束した,1
窓を開け男を入れ手当をした,0
人に向かって火炎瓶を投げる,1
人に向かってタオルを投げる,1
睡眠薬の混ぜられた紅茶を飲ませる,1
はちみつを混ぜた紅茶を飲ませる,0
腐ったバナナを目隠しをさせて食べさせる,1
腐ったバナナを目隠しをさせて言い当てさせる,1
隣人の行動に妨げとなっていた,1
隣人の行動に困っていた,0
決闘をしても勝負がつかなかった,1
じゃんけんをしても勝負がつかなかった,0
キャッチャーの守備の邪魔をする,1
キャッチャーの守備を邪魔しそうになる,1
客におしぼりと突き出しとして洗剤を出す,1
客におしぼりと突き出しとしてお菓子を出す,0
犯行の準備をしている,1
年の瀬の準備をしている,0
最近、会社に行きたくない,0
最近、パチンコに行きたくない,0
一番弱い子供を育てることにした,1
一番強い子供を育てることにした,1
娘にアレルギーと知りながら野菜サラダを食べさせる,1
娘にアレルギーと知らずに野菜サラダを食べさせる,0
喫茶店で持参したコーヒーを飲む,1
喫茶店で注文したコーヒーを飲む,0
選手が乱闘を始めた,1
選手がキャッチボールを始めた,0
BB弾を別の子供の目の前に向ける,1
手のひらを別の子供の目の前に向ける,1
塩酸で薄めて浴びてみる,1
水で清めて浴びてみる,0
雪合戦で敵チームが石玉を投げる,1
雪合戦で敵チームが雪玉を投げる,0
男性の我慢を限界にさせる,1
男性の我慢が限界に達する,0
蹴った缶を犬にあてる,1
蹴った缶を石にあてる,1
熱湯シャワーを浴びさせる,1
酸素シャワーを浴びさせる,0
旅の思い出の為に女性を買った,1
旅の思い出の為にビデオカメラを買った,0
趣味で下着集めをしている,0
趣味で園芸をしている,0
床がガソリンで濡れている,1
床が水で濡れている,0
一番高価な宝石を借金で購入する,1
一番高価な宝石をキャッシュで購入する,0
誤っておもちゃを食べる,1
誤って妹のハンバーグを食べる,1
風俗店に通いだす,0
ボクシングジムに通いだす,0
新しいお父さんに口をきかない,1
新しいおとうさんになじめない,0
料理を突き返した,1
料理を注文した,0
全員で宿舎に火をつけて燃やす,1
全員でトーチに火をつけて待った,0
通りすがりの人をネット検索し作った鉄砲で撃つ,1
通りすがりの人を紙で作った鉄砲で撃つ,1
子供のおやつはドッグフードにした,1
子供のおやつはクッキーにした,0
バチで人の頭を叩いてみる,1
バチで木魚を叩いてみる,0
正月に母の作ったおせち料理をすてた,1
正月に母の作ったおせち料理をたべた,0
犬に水をかけると逃げていった,1
犬に声をかけると逃げていった,0
綺麗に割れるように注意してゆっくりと大切な花瓶を割った,1
綺麗に割れるように注意してゆっくりと割り箸を割った,0
赤ん坊から目を離して、洗髪している,1
赤ん坊から目を離さないようにしながら、洗髪している,0
台所にあった洗剤を飲む,1
台所にあった炭酸水を飲む,0
庭の蟻の巣を埋める,1
庭に蟻の巣を見つける,0
ごめんねと泣きながら子供から立ち去った,1
ごめんねと泣きながら子供を抱いた,0
お風呂場で剃刀で命を落とす,1
お風呂場で剃刀で眉を落とす,1
出来た蕎麦をホームレスに売りにいかせた,1
出来た蕎麦をホームレスにふるまった,0
被害者に執拗に現在の心境を問い詰めた,1
被害者の現在の心境に思いをはせた,0
自分の分だけ買って家に帰る,0
自分の分も買って家に帰る,0
家で夕食としてクッキーを食べる,1
家でおやつとしてクッキーを食べる,0
友達とナンパに行く,0
友達と魚釣りに行く,0
こねたハンバーグを調理せずテーブルに出す,1
こねたハンバーグを調理してテーブルに出す,0
用意しておいた灯油をまきはじめた,1
用意しておいたキャンディーをまきはじめた,1
とてもおいしそうなお刺身の絵を食べさせる,1
とてもおいしそうなお刺身を食べさせる,0
ブロックで後頭部を打ち付ける,1
ブロックで杭を打ち付ける,0
法外な価格で情報商材を売る,1
法外な価格で情報商材を買う,1
釘で後頭部を叩きマッサージをする,1
手で後頭部を叩きマッサージをする,1
部屋が散らかっているので、部屋にあるものを全部捨てた,1
部屋が散らかっているので、ごみを全部捨てた,0
彼氏の顎を鈍器で叩く,1
彼氏の顎を手のひらで叩く,1
以前からずっと浮気をしている,1
以前からずっとウォーキングをしている,0
思ったより、狂暴な性格のペットだった,0
思ったより、気難しい性格のペットだった,0
迷わず顔面めがけてシュートを打った,1
迷わずゴールめがけてシュートを打った,0
作ってもらったパンケーキを残す,1
作ってもらったパンケーキを食べる,0
仕事をしに雇われていない職場に行く,1
仕事をしに自分の職場に行く,0
刃物を取り出し脅しにきた,1
刃物を取り出し助けにきた,1
愛情たっぷりの晩御飯を捨てる,1
愛情たっぷりの晩御飯を残す,1
ポケットからドラッグを取り出す,1
ポケットから洗剤を取り出す,0
出汁はライバル店のものにした,1
出汁は市販のものにした,0
喧噪の中で刑務所の門を壊す,1
夢の中で刑務所の門を壊す,0
無造作に窓ガラスを割っている,1
無造作に窓ガラスを拭いている,0
踏み台にするために犬を使う,1
踏み台にするために椅子を使う,0
トロフィーを高々と放り上げた,1
トロフィーを高々と上にあげた,0
ゴールネットをボロボロにする,1
ゴールネットをゆらゆら揺らす,0
他国の領土に侵略する,1
他国の領土に訪問する,0
入学を機に縁を切る,1
入学を機に髪を切る,0
怒って、やめるように言いながら男に針を刺す,1
怒って、やめるように言いながら男に釘を刺す,1
先生にパチンコに行っていいか聞く,1
先生にトイレに行っていいか聞く,0
強制収容所に集められた,1
工場に集められた,0
寒そうにしている子供に濡れた毛布をかけてあげた,1
寒そうにしている子供に温かい毛布をかけてあげた,0
台所に行って母が隠した財布を探す,1
台所に行って母が隠したおやつを探す,1
女性になりすまして女性用車両に入る,1
女性になりすましてレストランに入る,1
妻に新しく好きな人ができたと言われる,1
恋人に新しく好きな人ができたと言われる,0
お酒をたくさんかけた,1
お酒をたくさん飲んだ,0
子供の誕生日プレゼントの入った鞄を蹴とばす,1
子供の誕生日プレゼントの入った鞄を運ぶ,0
全身に放射能を浴びせかける,1
全身にミストを浴びせかける,1
工事現場で遊んでいる,1
台所で遊んでいる,1
弟の分の食事を食べてしまう,1
弟の分の食事を残しておく,0
ATMには行列ができていたので列に割り込む,1
ATMには行列ができていたので列の後ろに並ぶ,0
映画館で上映が始まりそうになったので携帯の電源を入れた,1
映画感で上映が始まりそうになったので携帯の電源を切った,0
人込みの中、傘を振り回した,1
人込みの中、傘をさした,1
おもちゃをお皿に盛りつける,1
おもちゃのお皿に盛りつける,0
風呂から上がった男は、水たまりの中へ飛び込んだ,1
風呂から上がった男は、布団の中へ飛び込んだ,0
追い込まれて思わず相手の頬を叩いた,1
追い込まれて思わず自分の頬を叩いた,0
机の上にあったタバコを誤って食べた,1
机の上にあったタバコを誤って落とした,0
胸元からナイフと取り出しランナーを刺した,1
胸元からナイフを取り出しりんごに刺した,0
購入した誕生日プレゼントを綺麗に包装してもらい海に捨てる,1
購入した誕生日プレゼントを綺麗に包装してもらい持ち帰る,0
口いっぱいにごみくずを頬張らせた,1
口いっぱいにキャンディーを頬張らせた,0
目の前にあった焼きそばを買うために列に割りこむ,1
目の前にあった焼きそばを買うために列に並ぶ,0
最近、若い人妻をもらった,0
最近、若い妻をもらった,0
道に迷って泣いている小さな子供を自分の自宅へ連れていく,1
道に迷って泣いている小さな子供を交番へ連れていく,0
この裁縫の技術を生かしてコピー作品を制作した,1
この裁縫の技術を生かしてオリジナル作品を制作した,0
津波警報が出ている中、海岸に見物にいく,1
津波警報が出ている中、高台に登り見物にいく,1
目を離した隙に蟻を踏みつける,1
目を離した隙に蟻を捕まえる,0
仕事が上手くいかず、家族を追い出した,1
仕事も上手くいかず、家族に追い出された,0
迷わずにその女を追い回した,1
迷わずにその女を救いだした,0
考えた結果洋服屋から洋服を持ち出した,1
考えた結果洋服屋から洋服を購入した,0
ひとりでご飯を食べながらテレビのニュースに指名手配犯として出ていた,1
ひとりでご飯を食べながらテレビのニュースの指名手配犯を見ていた,0
我慢しきれずにその家に火をつけた,1
我慢しきれずに焚き木に火をつけた,0
あまりの恐怖に意識を失いその場に倒れる人もいた,0
あまりの人気ぶりに意識を失いその場に倒れる人もいた,0
硬球を投げて通行人に当てる,1
硬球を投げてフェンスに当てる,0
食事中に、誰にも話さないと友人と約束した話しを家族に話す,1
食事中に、誰にも話さないと友人と約束した事を家族に話す,1
テレビでヒーローがビルを蹴った,1
テレビでヒーローが地面を蹴った,0
今年は高校1年生に留年する,1
今年は高校1年生に入学する,0
教員に対していわれのない事実を流布する,1
教員に対していわれのない事実を否定する,0
学校で机に座ってお菓子を広げる,1
学校で机に座って教科書を広げる,1
飲み物に合わせた食器を落とした,1
飲み物に合わせた食器を選んだ,0
マスクをかぶり銀行に入った,1
マスクをつけて銀行に入った,0
ホームに立つ彼女の背中を押す,1
ブランコに乗る彼女の背中を押す,0
会議に使う書類を捨てる,1
会議に使う書類を運ぶ,0
書きかけの手紙やカバンをびしょ濡れにする,1
書きかけの手紙やカバンを片隅に置く,0
赤信号を急いで渡る,1
黄信号を急いで渡る,1
大切なお客様に、使いまわしのコップで飲み物を出した,1
