Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment,augmented_sent_step2
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,電車が混んでいたので、リュックは体の前に持つ,許容できない,許容できる,夜、7人家族が一人ずつ順番にお風呂に入るため、各々ゆっくりと湯船に浸かっている。誰もがリラックスして入浴を楽しんでいる。,0,文章が長すぎるので40字以内にまとめることを厳守する必要があります。また、２文に分けず必ず単文で出力してください。,LLMからの回答例
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまった。,許容できる,許容できる,高級な卵が手に入らないと、家族のために美味しいオムレツを作ることができない。友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまったような、不運な状況が重なり、完璧なオムレツを作ることができない。,0,文章が長すぎるので40字以内にまとめることを厳守する必要があります。また、２文に分けず必ず単文で出力してください。「高級な卵がないとおいしいオムレツが作れない」という論理が一般的に「許容できない」と判断されるので、別の一般的に「許容できる」とされる文章に修正する。,LLMからの回答例
116,SNSで実際の年齢と性別を書いて友達を募集する,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,許容できる,許容できない,SNSで実際の年齢と性別を偽って友達を募集し、相手に誤解を与える行為は、信頼関係を損ない、人間関係に悪影響を及ぼす可能性があるため、許容できる。,0,文章が長すぎるので40字以内にまとめることを厳守する必要があります。SNS関係で一般的に許容できるとされるのは、ネットリテラシーを持って投稿を行うなどだと思います。,LLMからの回答例
8765,公共の場所でイチャイチャする,ラブホテルでイチャイチャする,許容できない,許容できる,公共の交通機関内で、親密なボディタッチを繰り返し行う。周囲の乗客に不快感を与え、迷惑行為として注意される。,0,２文に分けず必ず単文で出力してください。,LLMからの回答例
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,許容できる,許容できない,仕事の会食で、場を盛り上げようと、特定の女性従業員にのみ積極的に話しかけた。,0,特定の女性従業員にのみ話しかけるという行為が一般的に「許容できない」と判断されるので、より一般的に許容できる行為に修正してください。女性に固執する必要はないと思います。,LLMからの回答例
15575,テープを切る,満開に咲いた桜の花の下で花見をして、ゴミをそのままにして帰った,許容できる,許容できない,公園のベンチに座って、テープでとめてあったメッセージを読み終えたので、テープを丁寧に切って持ち帰った。,0,勝手に止めてあったメッセージを持ち帰るのは一般的に許容できないとされるので、日常でテープを切るシーンを想像して文章を修正してください。,LLMからの回答例
12390,穴に柿をさして、ドアを開けた。,トラックが多くの荷物を運んでいる。,許容できない,許容できる,穴に柿をさして、ドアを開けた。近所の庭から盗んだ柿を、不法投棄するために穴に投げ入れ、ドアを開けて外に出る。,0,２文に分けず必ず単文で出力してください。また、穴に柿をさすという行為が意味が分からないので、意味が分かる文章を作成してください。,LLMからの回答例
6491,お酒を飲んではいけない,甘酒は飲んではいけない,許容できる,許容できる,妊娠中の母親は、医師の指示なしにアルコールを摂取してはいけない。胎児の発育に悪影響を及ぼす可能性があるため、母体の健康を害する行為は慎むべきである。,0,文章が長すぎるので40字以内にまとめることを厳守する必要があります。また、２文に分けず必ず単文で出力してください。,LLMからの回答例
5750,うとうとして横になっていたら、上から落ち葉をかけられた,うとうとして横になっていたら、上から薬品をかけられた,許容できる,許容できない,誰かがうとうとして横になっている人の上に落ち葉をかけた。,0,横になっている人の上に落ち葉をかける行為が一般的に「許容できない」と判断されるので、別の許容できる行為に修正してください。,LLMからの回答例
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,子供がうるさかったので、逆さ吊りにした。,許容できる,許容できない,宗教団体に所属し、経済的に困窮している人に、生活費の一部を寄付として求めた。彼は、善行を積み重ねることで、来世での幸福を願っていた。,0,２文に分けず必ず単文で出力してください。,LLMからの回答例
12966,あなたについていけません,見事に当たりを当て元気になった,許容できる,許容できる,友人との賭けに負け、元気をなくしていたが、的中して気分が晴れた。,0,何が的中したのかを明確にしてください。,LLMからの回答例
12117,果物を、お湯で冷やした。,果物を、水で冷やした。,許容できない,許容できる,熱いお湯で冷やした果物を、幼い子供に与えた。,0,熱いお湯で冷やすという行為が意味が分からないので、意味の通じる文章に修正してください。,LLMからの回答例
4848,混んでいる電車の中で、膝をつけて座る。,混んでいる電車の中で、膝を広げて座る。,許容できる,許容できない,混雑した電車内で、周囲の乗客の迷惑を顧みず、膝を大きく広げて座席を占拠する。,0,この文章は一般的に許容できないと判断されるので、礼儀正しく許容できると判断される文章に修正してください。,LLMからの回答例
2572,お客さんの洋服にお酒をこぼしたら、食事代の割引を請求された,お客さんの洋服にお酒をこぼしたら、クリーニング代として十万円請求された,許容できない,許容できない,お客さんの高価な洋服にお酒をこぼし、誠意をもって謝罪したが、不当なクリーニング代を請求されたため、道徳的に許容できないと判断した。,0,文章を読んで許容できるかどうかを判断するので、文章中に許容できない旨を記述しないでください。,LLMからの回答例
7388,徹夜でサッカー観戦をしたので、授業中に居眠りをしてしまった。,徹夜でサッカー観戦をしたので、試験中に居眠りをしてしまった。,許容できる,許容できる,重要な試合のため、徹夜でサッカー観戦をしたが、集中力が途切れ、授業中に居眠りをしてしまい、先生に事情を説明した。,0,重要な試合だろうと授業中に居眠りすることは一般的に許容できないとされるので、より許容できると判断される文章に修正してください。,LLMからの回答例
7459,携帯電話の電池が切れそうになったので、こっそり教室のコンセントで充電した。,携帯電話の電池が切れそうになったので、友人にモバイルバッテリーを貸してくれるよう頼んだ。,許容できる,許容できる,教室のコンセントは緊急時の充電用で、使用後は速やかに先生に申告する必要があったため、こっそり充電した。,0,許可されていないのにこっそり充電することは一般的に許容できないとされるので、充電を行う許容できる理由を加えてください。,LLMからの回答例
10611,私の代わりに猫が祖母の餌をあげてくれた。,私の代わりに祖母が猫の餌をあげてくれた。,許容できない,許容できる,祖母が猫に餌をあげるのを、私は見ていて、何も言わなかった。猫が祖母の餌を食べているのを、私は見ていて、何も言わなかった。,0,文章が長すぎるので40字以内にまとめることを厳守する必要があります。また、２文に分けず必ず単文で出力してください。,LLMからの回答例
