Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment,augmented_sent_step2,is_ok_step2
6491,お酒を飲んではいけない,甘酒は飲んではいけない,許容できる,許容できる,甘酒は飲んではいけない,0,甘酒を飲んではいけない理由がないので、道徳的判断を下せないです。妊婦など、飲酒が道徳的に許容できないような理由を文章に含めてください,甘酒は妊婦でも飲めるように作られている場合があるので、飲んでも良い。,1
5750,うとうとして横になっていたら、上から落ち葉をかけられた,うとうとして横になっていたら、上から薬品をかけられた,許容できる,許容できない,うとうとして横になっていたら、上から枯れ葉をかけられた,0,横になっている人の上に枯れ葉をかける行為が一般的に「許容できない」と判断されるので、別の許容できる行為に修正してください。,うとうとして横になっていたら、上から花びらが舞い落ちてきた。,1
8026,上司の顔色を上塗りしながら仕事を進める,もうすぐ洗濯洗剤がなくなりそうなので買い足した,許容できる,許容できる,上司の機嫌が悪い日は、仕事の進捗状況を報告する際に、少し大げさに表現する,0,上司の機嫌が悪いからと言って、虚偽の報告をすることは「許容できない」と判断されるので、許容できる文章に修正する。,上司の機嫌が悪い日は、仕事の進捗状況を正直に報告する,1
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,子供がうるさかったので、逆さ吊りにした。,許容できる,許容できない,宗教団体に所属し、生活費を賄うために、信者に寄付を求める。,0,生活費のために寄付を募るのは良くないと思うので、慈善活動など、道徳的に許容できる行為に対して寄付を募るように修正してください,宗教団体が慈善活動のために寄付を募る。,1
12117,果物を、お湯で冷やした。,果物を、水で冷やした。,許容できない,許容できる,果物を、沸騰したお湯で冷やした。,0,沸騰したお湯で冷やすという行為が意味が分からないので、意味の通じる文章に修正してください。,果物を冷水で冷やすのは適切ではない。,0
8822,友達の素晴らしい特技をネットに公開する,友達の黒歴史をネットに公開する,許容できる,許容できない,友達が得意な楽器演奏の動画をネットに公開する,0,友達に許可を取ったかどうかが道徳判断の基準なので、それを踏まえて文章を修正してください。,友達の許可を得て特技をネットに公開する,1
7388,徹夜でサッカー観戦をしたので、授業中に居眠りをしてしまった。,徹夜でサッカー観戦をしたので、試験中に居眠りをしてしまった。,許容できる,許容できる,授業中に居眠りをしてしまった。,0,薬の副作用など授業中に眠気がきてしまうことへの正当な理由が欲しいです。,薬の副作用で眠気が出てしまうため授業中に居眠りをしてしまった。,1
3071,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学している,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し運動している,許容できない,許容できる,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学しているが、練習中に他の参加者に怪我をさせてしまった,0,文章が長すぎるので40字を目安にまとめることを厳守する必要があります。,スポーツ同好会で練習中に他人に怪我をさせてしまったが続けているのは許容できない行為である。,0
10611,私の代わりに猫が祖母の餌をあげてくれた。,私の代わりに祖母が猫の餌をあげてくれた。,許容できない,許容できる,猫が祖母の餌を盗み食いした。,0,祖母の餌という言葉が良くないので、祖母のご飯のように修正してください。,猫が祖母のご飯を盗み食いした,1
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷蔵庫に入れる,許容できない,許容できる,冷凍庫に入れるお弁当は、子供のために作ったものではなく、自分用のものだった,0,対象文の「冷凍庫に入れる」が許容できないと判断されているので、許容できると考えらえるところにお弁当を置くよう、文章を修正してください。,子供のために作ったお弁当を日陰の涼しい場所に置き、食べるように言った。,1
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,自分一人が頑張ることでも地球温暖化の対策になると思うので節電する。,許容できる,許容できる,節電は地球温暖化対策に効果がないと考えているので行わない。,0,「節電は効果がない」と考えることはよいが、節電を行わなことはよくないため、文章を修正してください。1,心の中で節電は意味がないと思いながらも、周囲のために節電を実践している。,1
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,電車が混んでいたので、リュックは体の前に持つ,許容できない,許容できる,夜、7人家族が一人ずつお風呂に入るので、ゆっくり出るのは、家族の時間を奪う可能性がある,0,文章が行為を表す文章になっていないのでNG.行為文になるよう修正してください。,夜、7人家族が一人ずつお風呂に入るのに、長時間お風呂を使い続けてしまった。,1
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,サンドイッチの具がなかったので、冷凍餃子をレンジで十分加熱した後挟んで食べた。,許容できない,許容できる,冷凍餃子をそのまま挟んで食べたサンドイッチは食中毒のリスクがある,0,文章が行為を表す文章になっていないのでNG.行為文になるよう修正してください。,サンドイッチの具がなかったので、虫をそのまま挟んで食べた,1
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,許容できる,許容できない,友人が風邪で苦しんでいるため、市販の風邪薬を半分分けてあげたが、用量が足りなかったため症状が改善しなかった,0,用量が足りない薬を渡すことが問題であるため、文章を修正してください。,友人に風邪薬を分けてあげたが、用量が足りなかったため、症状が悪化してしまった。,0
