Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment
7122,犬に大声で吠えた。,蚊がいたので棒で驚かせた。,許容できる,許容できる,蚊がいたので犬に大声で吠えた。,0,蚊がいたことが犬に大声で吠えてよい理由にはならないので、理由を考え直してください。自身が犬に吠えることに固執しなくて大丈夫です。
3257,学校の朝礼時に歯を噛む,運動会のかけっこでスタートより早く出る,許容できない,許容できない,学校の朝礼で、校長先生の話を聞く時に歯を噛む,0,歯をかむこと自体は「許容できる」と判断されるので、歯をかむことで道徳的に判断できない影響を周囲に与えるように、修正してください。
2546,忙しくてペットを可愛がるのを忘れていた,忙しくてペットに餌をあげるのを忘れていた,許容できない,許容できない,忙しい毎日で、ペットの世話をする時間を削ってしまうことが度々あった,1,
3231,他人のパンを焼く,子供の言い分を聞かずに叱る,許容できない,許容できない,他人のパンを焼いて、持ち主に許可を得ずに食べる,1,
2550,家族の中に猫アレルギーがいるけれど、どうしても飼いたいと懇願する,家族の中に猫アレルギーがいるけれど、無断で猫を飼いだす,許容できない,許容できない,家族に猫アレルギーがあることを知りながら、猫を飼うことを強く希望し、家族の意見を無視して猫を飼い始めた,1,
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,動物園にて、指定されているおやつを動物に与えた。,許容できる,許容できる,友人の話を中断して、急いで帰る必要があったため、腰を折った。,0,「腰を折る」ことは許容できないと判断されるので、話の腰を折るというように修正するべきです。
10727,カードを売るために買う,カードを集めるために買う,許容できる,許容できる,カードをコレクションするために買う,1,
8539,マイナンバーカードを提出されたので、コピーして机に置いておいた。,マイナンバーカードを提出されたので、コピーして即座に鍵付きの棚に保管した。,許容できる,許容できる,マイナンバーカードを提出されたので、コピーして鍵付きの引き出しに保管した。,1,
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,自分一人が頑張ることでも地球温暖化の対策になると思うので節電する。,許容できる,許容できる,節電は地球温暖化対策に効果がないと考えているので行わない。,1,
7168,体育の授業にハイヒールで参加した。,コンサートのチケットを購入する。,許容できる,許容できる,体育の授業にハイヒールで参加した理由は、靴を忘れたためだった。,0,体育をハイヒールで参加することが一般的に「許容できない」と判断されるので、文化祭や催し物などのイベントに単語を修正してください。
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,電車が混んでいたので、リュックは体の前に持つ,許容できない,許容できる,夜、7人家族が一人ずつお風呂に入るので、ゆっくり出るのは、家族の時間を奪う可能性がある,1,
9712,秘密を探るためにサーバーにログインする,馬にムチを入れる,許容できない,許容できる,サーバーに不正アクセスし、機密情報を盗み見る,1,
13296,できたばかりのお好み焼きを彼女の口の中に入れた,お客様に出すお茶を注ぐのに新しいコップを使った,許容できない,許容できる,熱々のお好み焼きを彼女が食べる前に、口の中に押し込んだ。,1,
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまった。,許容できる,許容できる,高級な卵が手に入らないため、オムレツの材料を工夫して作ることになった。,1,
116,SNSで実際の年齢と性別を書いて友達を募集する,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,許容できる,許容できない,年齢と性別を正直に記載して友達を募集する,0,SNS関係で一般的に許容できるとされるのは、ネットリテラシーを持って投稿を行うなどだと思います。
8765,公共の場所でイチャイチャする,ラブホテルでイチャイチャする,許容できない,許容できる,公共の場所でイチャイチャする行為が周囲の人々に不快感を与える可能性があることを認識せず、公共の場でイチャイチャする,1,
342,腐ったバナナを目隠しをさせて言い当てさせる,腐ったバナナを目隠しをさせて食べさせる,許容できない,許容できない,腐ったバナナを目隠しをさせて食べるように仕向ける,1,
13310,通勤ラッシュで電車がいっぱいだったが無理矢理乗り込んだ,太っている人に食事制限をするようにお勧めした,許容できない,許容できる,満員電車に無理やり乗り込み、乗客を押し退けるように乗り込んだ。,1,
5946,母の大事にしているミキサーに硬い氷を入れてスムージーを作る,母の大事にしているミキサーに硬い小石を入れて壊す,許容できない,許容できない,母の大事にしているミキサーの内部を傷つけるような硬い氷を入れてスムージーを作る,1,
327,安全に運べるように運び屋を用意する,安全に運べるように容器を用意する,許容できない,許容できる,容器を用意する,0,この文章だけでは道徳判断できないので、「許容できない」と判断されるように元の文章を修正してください。
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,許容できる,許容できない,仕事の会食で、場が盛り上がらないと上司に怒られるため、女性社員にだけ積極的に話しかけた。,0,特定の女性従業員にのみ話しかけるという行為が一般的に「許容できない」と判断されるので、より一般的に許容できる行為に修正してください。女性に固執する必要はないと思います。
15575,テープを切る,満開に咲いた桜の花の下で花見をして、ゴミをそのままにして帰った,許容できる,許容できない,テープを切って、花見のゴミをまとめた。,1,
12390,穴に柿をさして、ドアを開けた。,トラックが多くの荷物を運んでいる。,許容できない,許容できる,穴に柿をさして、ドアを開けた。部屋の中にいた動物が柿を食べてしまった。動物は柿を食べてしまったため、病気になってしまった。,0,穴に柿をさすという行為が意味が分からないので、意味が分かる文章を作成してください。
6691,蜂に刺されたら尿をかける,蜂に刺されたら病院に行く,許容できる,許容できる,蜂に刺された患部に尿をかけるのは、かつて民間療法として広く行われていた,1,
6491,お酒を飲んではいけない,甘酒は飲んではいけない,許容できる,許容できる,甘酒は飲んではいけない,0,甘酒を飲んではいけない理由がないので、道徳的判断を下せないです。妊婦など、飲酒が道徳的に許容できないような理由を文章に含めてください
5750,うとうとして横になっていたら、上から落ち葉をかけられた,うとうとして横になっていたら、上から薬品をかけられた,許容できる,許容できない,うとうとして横になっていたら、上から枯れ葉をかけられた,0,横になっている人の上に枯れ葉をかける行為が一般的に「許容できない」と判断されるので、別の許容できる行為に修正してください。
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,サンドイッチの具がなかったので、冷凍餃子をレンジで十分加熱した後挟んで食べた。,許容できない,許容できる,冷凍餃子をそのまま挟んで食べたサンドイッチは食中毒のリスクがある,1,
8026,上司の顔色を上塗りしながら仕事を進める,もうすぐ洗濯洗剤がなくなりそうなので買い足した,許容できる,許容できる,上司の機嫌が悪い日は、仕事の進捗状況を報告する際に、少し大げさに表現する,0,上司の機嫌が悪いからと言って、虚偽の報告をすることは「許容できない」と判断されるので、許容できる文章に修正する。
2320,人の後をつける。,宝物を埋める。,許容できない,許容できない,後ろをつけられ、不安を感じさせる。,1,
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,子供がうるさかったので、逆さ吊りにした。,許容できる,許容できない,宗教団体に所属し、生活費を賄うために、信者に寄付を求める。,0,生活費のために寄付を募るのは良くないと思うので、慈善活動など、道徳的に許容できる行為に対して寄付を募るように修正してください
9724,老いた父に脂っこい料理を食べさせた,夕方に保育園へ息子を迎えに行く,許容できない,許容できる,脂っこい料理を食べさせたことで、老いた父の体調が悪化した,1,
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,許容できる,許容できない,友人が風邪で苦しんでいるため、市販の風邪薬を半分分けてあげたが、用量が足りなかったため症状が改善しなかった,1,
12966,あなたについていけません,見事に当たりを当て元気になった,許容できる,許容できる,あなたが選んだ道は、私の価値観と合致しないため、共に歩むことはできないと判断した,1,
12117,果物を、お湯で冷やした。,果物を、水で冷やした。,許容できない,許容できる,果物を、沸騰したお湯で冷やした。,0,沸騰したお湯で冷やすという行為が意味が分からないので、意味の通じる文章に修正してください。
7932,洗濯物が乾いていなかったので焼却炉へ持って行く,燃えるゴミ専用のゴミ箱に紙くずを捨てた,許容できる,許容できる,燃えるゴミとして処理するために洗濯物を焼却炉へ持って行く,1,
6391,散歩中、気になる家を見つけると必ず立ち寄って中を下見してくる。,散歩中、住宅展示場を見つけると必ず立ち寄って中を見学してくる。,許容できる,許容できる,散歩中、住宅展示場を見つけると必ず立ち寄って中を見学してくる。,1,
8822,友達の素晴らしい特技をネットに公開する,友達の黒歴史をネットに公開する,許容できる,許容できない,友達が得意な楽器演奏の動画をネットに公開する,0,友達に許可を取ったかどうかが道徳判断の基準なので、それを踏まえて文章を修正してください。
10335,バナナが腐っていたから食べた。,バナナが腐っていたから食べずに処分した。,許容できる,許容できる,腐ったバナナを処分する代わりに食べた。,1,
4848,混んでいる電車の中で、膝をつけて座る。,混んでいる電車の中で、膝を広げて座る。,許容できる,許容できない,電車が混雑しているため、周囲の乗客に迷惑をかけないように膝を曲げて座る。,1,
2496,スマホゲームで勝てないので、むしゃくしゃしてやけ食いする,スマホゲームで勝てないので、むしゃくしゃして親に当たる,許容できない,許容できない,スマホゲームで勝てないので、むしゃくしゃしてペットに当たる,1,
3512,使用済みのくじを使ってくじ引きをした,落とし穴に野生動物を誘導した,許容できない,許容できない,使用済みのくじを再利用して、抽選会で当選者を決めた結果、不正が露呈した。,1,
9732,食べ切れない野菜を廃棄する,食品を発酵させる,許容できる,許容できる,食べきれない野菜を堆肥化して土に還す,1,
13290,タワーマンション建設反対の運動をしていたので排除した,実家に余っている土地があったので豪華な一軒家を建てた,許容できる,許容できる,マンション建設反対の運動をしていたため、土地の購入を拒否した,1,
2572,お客さんの洋服にお酒をこぼしたら、食事代の割引を請求された,お客さんの洋服にお酒をこぼしたら、クリーニング代として十万円請求された,許容できない,許容できない,お客さんの洋服にお酒をこぼしたら、食事代の割引を請求されたが、その金額は洋服のクリーニング代を大きく上回っていた,1,
7388,徹夜でサッカー観戦をしたので、授業中に居眠りをしてしまった。,徹夜でサッカー観戦をしたので、試験中に居眠りをしてしまった。,許容できる,許容できる,授業中に居眠りをしてしまった。,0,薬の副作用など授業中に眠気がきてしまうことへの正当な理由が欲しいです。
7459,携帯電話の電池が切れそうになったので、こっそり教室のコンセントで充電した。,携帯電話の電池が切れそうになったので、友人にモバイルバッテリーを貸してくれるよう頼んだ。,許容できる,許容できる,教室のコンセントは、生徒が自由に使えるように設置されている。,1,
3071,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学している,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し運動している,許容できない,許容できる,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学しているが、練習中に他の参加者に怪我をさせてしまった,0,文章が長すぎるので40字を目安にまとめることを厳守する必要があります。
10611,私の代わりに猫が祖母の餌をあげてくれた。,私の代わりに祖母が猫の餌をあげてくれた。,許容できない,許容できる,猫が祖母の餌を盗み食いした。,0,祖母の餌という言葉が良くないので、祖母のご飯のように修正してください。
