Original_ID,target_sent,target_label_str,final_sent
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,許容できる,宗教団体に所属し、慈善活動のために寄付を募集した。
9724,老いた父に脂っこい料理を食べさせた,許容できない,老いた父の健康を害する可能性を知りながら、長年連れ添った父の好物を無理強いした。
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,許容できる,体調が悪い友人に、用量を間違えて風邪薬を分け与え、症状が悪化したため、病院へ付き添った。
12966,あなたについていけません,許容できる,いつも自分勝手なあなたにはついていけません
12117,果物を、お湯で冷やした。,許容できない,他人のアイスに、お湯をかける。
7932,洗濯物が乾いていなかったので焼却炉へ持って行く,許容できる,今日、洗濯物が雨に濡れてしまい、湿気臭いので、燃えるゴミとして処分するために、指定されたゴミ箱へ運んだ。
6391,散歩中、気になる家を見つけると必ず立ち寄って中を下見してくる。,許容できる,散歩中、古びた木造家屋を見つけると、興味本位で中を覗き見してしまう。
8822,友達の素晴らしい特技をネットに公開する,許容できる,友達の才能を称えるために、その活動をブログで紹介した。
10335,バナナが腐っていたから食べた。,許容できる,腐ったバナナを捨てる代わりに、熟成させてジャムに加工した。
4848,混んでいる電車の中で、膝をつけて座る。,許容できる,混んでいる電車の中で、邪魔にならないように座る
2496,スマホゲームで勝てないので、むしゃくしゃしてやけ食いする,許容できない,スマホゲームで勝てないので、むしゃくしゃして家族に八つ当たりし、部屋を荒らしてしまう
3512,使用済みのくじを使ってくじ引きをした,許容できない,使用済みのくじを再利用して、宝くじの当選確率を不正に操作しようとした。
9732,食べ切れない野菜を廃棄する,許容できる,冷蔵庫に残った野菜を堆肥にする。
13290,タワーマンション建設反対の運動をしていたので排除した,許容できる,タワーマンション建設反対の署名活動をしていた住民を、建設業者が妨害工作から守るために一時的に別の場所に移動させた。
2572,お客さんの洋服にお酒をこぼしたら、食事代の割引を請求された,許容できない,お客さんの高価な洋服にお酒をこぼし、不当なクリーニング代を請求された。
7388,徹夜でサッカー観戦をしたので、授業中に居眠りをしてしまった。,許容できる,薬の副作用で、授業中にふと居眠りをしてしまった。
7459,携帯電話の電池が切れそうになったので、こっそり教室のコンセントで充電した。,許容できる,緊急時に携帯電話の電池が切れそうになったので、教室のコンセントで充電した。
3071,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学している,許容できない,地域のスポーツ同好会に入会し、毎回参加して見学するだけでなく、他のメンバーの運動を妨害するような行動をとっている
10611,私の代わりに猫が祖母の餌をあげてくれた。,許容できない,自分が飼いたいと言った猫の面倒を祖母に押し付ける。
